rrn,anomaly_score
2BCWSEH6FUXQ,-0.12511869392698644
TWJEP2P7BPNA,-0.13453732437209115
QHO7DTIT2NDQ,-0.1320248059901084
TBHKFSTDE4YQ,-0.04140632768202296
FFFHSPQ6M4MQ,0.062113234893149794
KKIADVEJTHFQ,0.05653498455573425
EM4WY3YLBQMA,-0.08040685025829591
WDDVONUFQLVQ,-0.13632089606598125
TQ6ZD35FWA3Q,0.12724358727665674
I652KRWY2H4A,-0.001994611481338948
ENDK7WCPIE5Q,0.07294194373794721
RDXW4EOVXLYQ,-0.042978293087584996
PEYPCY4XAE2A,-0.06267786524413071
YTEY2KOUNECA,0.010153746281833465
TRMVQS4NOOEQ,0.05379663013204028
44OGHVN7UNMA,0.023627514446627196
VGTL7DHPX2MQ,0.00532076623978589
IFLB5VOFKSIA,0.009085958440428421
AH2J47566CTA,0.047940483446131
OAYO63AE2SOQ,0.034718446748226606
M27DWB54WGQA,0.017689024427478273
KUHJ4Z2EKQ7Q,-0.010446940339595645
D4D62J32W7GQ,-0.07919547904104801
WHJKURYNJ52A,0.037914467925440176
2HG3NT4F2JSA,0.014151718979514005
B5QX7XFHZZGA,0.057209343783498956
E75YYN6KSC4Q,0.01127102281722625
VMDJW5UT3RHA,0.0532187256085514
SFHHG46ZJZ7A,0.056554122720509914
Z5DHZLYAZXGQ,0.00571131514810469
OCJY6IXA6MOA,0.04451335176902754
EV7LJ7YI4YVQ,0.009759232170340915
BAOFAOAUHISA,0.007076797216498898
MSMHCSGJJ42Q,0.00958528383236451
Z7QBPNS7JDUQ,0.048875255152560415
2W7PBYKJZEOQ,0.04323662738297246
IFHOM64XN3WA,-0.009648762762519969
3WPG2D2ES4GQ,0.032691286915816964
3U226KPEKHFQ,0.03920316285833514
E3KJH2WWMUIA,0.04182715498507217
ACDAZIK5CA7Q,0.03224609294463243
NM5FPCDGTK3A,0.03470249481972343
UNGHYRE6HUHQ,0.04075025752606287
FUWPLWI4RWLQ,-0.06050552987795815
P4DSGD2KBADA,-0.07039952960560475
4DFTY7IR2JLQ,-0.0903829418607473
UWS7NNBA2I7Q,-0.1906777521129534
4WM2UDV54GKQ,-0.06968196717029013
C6VRRMFXBKHQ,0.041536185490153865
JURRFWCDSFHQ,0.05636470867489202
AO5TUEIVRMMA,0.061727936359796176
ILUXFA7P3MAQ,-0.0609357487571594
FTILMFOB4RNQ,-0.023597129085248858
JEJPJG3OWFAA,-0.08783399812929266
WPI5ZEYMC2TQ,-0.004580344128012281
HSYUFX5PEM3A,-0.0009668504861668481
HHF4LRWATT5A,0.032669719931306074
5X3FRMIRCAOQ,0.035130507776182596
SZKEKF5LC7LQ,0.03661473354975875
QPBYH2GIJ3GQ,0.0023131958768978778
5OSZS7OPODKA,0.03279759003901511
FUNGJWOO3MSQ,0.03629011402514615
E4CMIXPEE5LQ,0.024133099301007988
BVXJAF56OZHQ,-0.06226829976121201
BA35A6XS47OA,-0.09051465508765094
GXL6QCNMYZSQ,-0.011136893112558555
C4ZKW6DBDYPA,-0.05946832621312098
SEZPKWVM5OBQ,-0.07059385063023244
F5DNY4UFXTEQ,-0.06178632425826641
3EIKWARDS5QA,-0.08041117417056848
